Year,지역,Value
2013,0.전국,1.92
2014,0.전국,1.47
2015,0.전국,1.5
2016,0.전국,1.51
2017,0.전국,1.53
2018,0.전국,1.54
2019,0.전국,1.54
2020,0.전국,1.6
2013,1.수도권,1.880346566
2014,1.수도권,1.377758861
2015,1.수도권,1.383447924
2016,1.수도권,1.401955882
2017,1.수도권,1.436270699
2018,1.수도권,1.461395973
2019,1.수도권,1.473440136
2020,1.수도권,1.509538674
2013,2.충청권,2.231073735
2014,2.충청권,1.734285553
2015,2.충청권,1.768368164
2016,2.충청권,1.769177037
2017,2.충청권,1.768898385
2018,2.충청권,1.772777158
2019,2.충청권,1.76733816
2020,2.충청권,1.764741283
2013,3.호남권,2.472138737
2014,3.호남권,1.962345606
2015,3.호남권,1.976466078
2016,3.호남권,1.992511909
2017,3.호남권,2.006489987
2018,3.호남권,2.017545548
2019,3.호남권,2.027837866
2020,3.호남권,2.049498154
2013,4.대경권,1.875636401
2014,4.대경권,1.476429244
2015,4.대경권,1.539258794
2016,4.대경권,1.573267022
2017,4.대경권,1.593819453
2018,4.대경권,1.600413532
2019,4.대경권,1.617979755
2020,4.대경권,1.639829792
2013,5.동남권,2.223886054
2014,5.동남권,1.734700059
2015,5.동남권,1.777136525
2016,5.동남권,1.799365587
2017,5.동남권,1.810744702
2018,5.동남권,1.829164168
2019,5.동남권,1.852404699
2020,5.동남권,1.886570425
2013,6.강원권,2.3
2014,6.강원권,1.92
2015,6.강원권,1.92
2016,6.강원권,1.93
2017,6.강원권,1.96
2018,6.강원권,1.95
2019,6.강원권,1.95
2020,6.강원권,1.9
2013,7.제주권,5.13
2014,7.제주권,3.01
2015,7.제주권,2.98
2016,7.제주권,2.95
2017,7.제주권,2.91
2018,7.제주권,2.89
2019,7.제주권,2.88
2020,7.제주권,2.9
